,Title,Text,Summary,URL
0,Science fiction - Wikipedia,"Science fiction (sometimes shortened to Sci-Fi or SF) is a genre of speculative fiction which typically deals with imaginative and futuristic concepts such as advanced science and technology, space exploration, time travel, parallel universes, extraterrestrial life, sentient artificial intelligence, cybernetics, certain forms of immortality (like mind uploading), and the singularity. Science fiction predicted several existing inventions, such as the atomic bomb,[1] robots,[2] and borazon,[3] whose names entirely match their fictional predecessors. In addition, science fiction might serve as an outlet to facilitate future scientific and technological innovations.[4]
","Science fiction (sometimes shortened to Sci-Fi or SF) is a genre of speculative fiction which typically deals with imaginative and futuristic concepts such as advanced science and technology, space exploration, time travel, parallel universes, extraterrestrial life, sentient artificial intelligence, cybernetics, certain forms of immortality (like mind uploading), and the singularity. Science fiction predicted several existing inventions, such as the atomic bomb,[1] robots,[2] and borazon,[3] whose names entirely match their fictional predecessors. In addition, science fiction might serve as an outlet to facilitate future scientific and technological innovations.[4]
",https://en.wikipedia.org/wiki/Science_fiction
1,Science fiction (disambiguation) - Wikipedia,"Science Fiction may also refer to:
","Science Fiction may also refer to:
",https://en.wikipedia.org/wiki/Science_fiction_(disambiguation)
2,File:Discovery1b.JPG - Wikipedia,"Image of: Discovery One. 2001
","Image of: Discovery One. 2001
",https://en.wikipedia.org/wiki/File:Discovery1b.JPG
3,2001: A Space Odyssey (film) - Wikipedia,"2001: A Space Odyssey is a 1968 epic science fiction film produced and directed by Stanley Kubrick. The screenplay was written by Kubrick and science fiction author Arthur C. Clarke, and was inspired by Clarke's 1951 short story ""The Sentinel"" and other short stories by Clarke. Clarke also published a novelisation of the film, in part written concurrently with the screenplay, after the film's release. The film stars Keir Dullea, Gary Lockwood, William Sylvester, and Douglas Rain, and follows a voyage by astronauts, scientists and the sentient supercomputer HAL to Jupiter to investigate an alien monolith.
","2001: A Space Odyssey is a 1968 epic science fiction film produced and directed by Stanley Kubrick. The screenplay was written by Kubrick and science fiction author Arthur C. Clarke, and was inspired by Clarke's 1951 short story ""The Sentinel"" and other short stories by Clarke. Clarke also published a novelisation of the film, in part written concurrently with the screenplay, after the film's release. The film stars Keir Dullea, Gary Lockwood, William Sylvester, and Douglas Rain, and follows a voyage by astronauts, scientists and the sentient supercomputer HAL to Jupiter to investigate an alien monolith.
",https://en.wikipedia.org/wiki/2001:_A_Space_Odyssey_(film)
4,Stanley Kubrick - Wikipedia,"Stanley Kubrick (/ˈkuːbrɪk/; July 26, 1928 – March 7, 1999) was an American film director, producer, screenwriter, and photographer. Widely considered one of the greatest filmmakers of all time, his films, almost all of which are adaptations of novels or short stories, cover a wide range of genres and are noted for their innovative cinematography, dark humor, realistic attention to detail and extensive set designs.
","Stanley Kubrick (/ˈkuːbrɪk/; July 26, 1928 – March 7, 1999) was an American film director, producer, screenwriter, and photographer. Widely considered one of the greatest filmmakers of all time, his films, almost all of which are adaptations of novels or short stories, cover a wide range of genres and are noted for their innovative cinematography, dark humor, realistic attention to detail and extensive set designs.
",https://en.wikipedia.org/wiki/Stanley_Kubrick
5,Arthur C. Clarke - Wikipedia,"Sir Arthur Charles Clarke CBE FRAS (16 December 1917 – 19 March 2008) was an English science-fiction writer, science writer, futurist,[3] inventor, undersea explorer, and television series host.
","Sir Arthur Charles Clarke CBE FRAS (16 December 1917 – 19 March 2008) was an English science-fiction writer, science writer, futurist,[3] inventor, undersea explorer, and television series host.
",https://en.wikipedia.org/wiki/Arthur_C._Clarke
6,Discovery One - Wikipedia,"Clarke and Kubrick developed the first novel and film in parallel, but there were some differences to suit the different media.  Kubrick dropped the cooling fins of the ship, fearing they would be interpreted as wings.  The itinerary of Discovery One in the book is from Earth orbit via gravitational slingshot around Jupiter to Saturn and parking orbit around the moon Iapetus.  Kubrick changed this to the simpler route from Earth to Jupiter's moon Europa.
","Clarke and Kubrick developed the first novel and film in parallel, but there were some differences to suit the different media.  Kubrick dropped the cooling fins of the ship, fearing they would be interpreted as wings.  The itinerary of Discovery One in the book is from Earth orbit via gravitational slingshot around Jupiter to Saturn and parking orbit around the moon Iapetus.  Kubrick changed this to the simpler route from Earth to Jupiter's moon Europa.
",https://en.wikipedia.org/wiki/Discovery_One
7,File:Sci-fi film icon.svg - Wikipedia,"File:Sci-fifilm.png This file was derived from:
","File:Sci-fifilm.png This file was derived from:
",https://en.wikipedia.org/wiki/File:Sci-fi_film_icon.svg
8,Lists of science fiction films - Wikipedia,"Among the listed movies are films that have won motion-picture and science fiction awards as well as films that have been listed among the worst movies ever made, or have won one or more Golden Raspberry Awards. Critically distinguished films are indicated by footnotes in the listings.
","Among the listed movies are films that have won motion-picture and science fiction awards as well as films that have been listed among the worst movies ever made, or have won one or more Golden Raspberry Awards. Critically distinguished films are indicated by footnotes in the listings.
",https://en.wikipedia.org/wiki/Lists_of_science_fiction_films
9,List of science fiction films before 1920 - Wikipedia,"A list of science fiction films released before the 1920s. These films include core elements of science fiction and are widely available with reviews by reputable
critics or film historians.
","A list of science fiction films released before the 1920s. These films include core elements of science fiction and are widely available with reviews by reputable
critics or film historians.
",https://en.wikipedia.org/wiki/List_of_science_fiction_films_before_1920
